date,rate
20011029,0.9037
20011030,0.9060
20011031,0.8993
20011101,0.9044
20011102,0.9037
20011105,0.8963
20011106,0.8975
20011107,0.8999
20011108,0.8910
20011109,0.8935
20011113,0.8811
20011114,0.8829
20011115,0.8813
20011116,0.8849
20011119,0.8781
20011120,0.8832
20011121,0.8781
20011123,0.8770
20011126,0.8811
20011127,0.8812
20011128,0.8863
20011129,0.8879
20011130,0.8958
20011203,0.8897
20011204,0.8898
20011205,0.8856
20011206,0.8916
20011207,0.8905
20011210,0.8884
20011211,0.8904
20011212,0.8945
20011213,0.8976
20011214,0.9044
20011217,0.9040
20011218,0.9019
20011219,0.8997
20011220,0.8972
20011221,0.8864
20011224,0.8773
20011226,0.8778
20011227,0.8843
20011228,0.8822
20011231,0.8901
20020102,0.9031
20020103,0.8992
20020104,0.8946
20020107,0.8931
20020108,0.8925
20020109,0.8882
20020110,0.8925
20020111,0.8905
20020114,0.8935
20020115,0.8913
20020116,0.8834
20020117,0.8800
20020118,0.8844
20020122,0.8838
20020123,0.8836
20020124,0.8782
20020125,0.8655
20020128,0.8605
20020129,0.8643
20020130,0.8648
20020131,0.8594
20020201,0.8613
20020204,0.8685
20020205,0.8672
20020206,0.8693
20020207,0.8690
20020208,0.8727
20020211,0.8778
20020212,0.8768
20020213,0.8730
20020214,0.8713
20020215,0.8730
20020219,0.8764
20020220,0.8705
20020221,0.8712
20020222,0.8757
20020225,0.8713
20020226,0.8682
20020227,0.8642
20020228,0.8658
20020301,0.8652
20020304,0.8705
20020305,0.8699
20020306,0.8772
20020307,0.8795
20020308,0.8752
20020311,0.8768
20020312,0.8759
20020313,0.8770
20020314,0.8816
20020315,0.8823
20020318,0.8826
20020319,0.8805
20020320,0.8836
20020321,0.8836
20020322,0.8791
20020325,0.8768
20020326,0.8767
20020327,0.8726
20020328,0.8711
20020329,0.8717
20020401,0.8806
20020402,0.8782
20020403,0.8804
20020404,0.8779
20020405,0.8805
20020408,0.8750
20020409,0.8793
20020410,0.8794
20020411,0.8829
20020412,0.8792
20020415,0.8802
20020416,0.8830
20020417,0.8885
20020418,0.8898
20020419,0.8893
20020422,0.8877
20020423,0.8897
20020424,0.8915
20020425,0.8978
20020426,0.8980
20020429,0.9028
20020430,0.9002
20020501,0.9062
20020502,0.9032
20020503,0.9133
20020506,0.9166
20020507,0.9148
20020508,0.9040
20020509,0.9088
20020510,0.9116
20020513,0.9107
20020514,0.9022
20020515,0.9074
20020516,0.9105
20020517,0.9206
20020520,0.9213
20020521,0.9191
